[2025-02-12 09:25:04] [ERROR] SQLSTATE[42601]: Syntax error: 7 ERROR:  syntax error at or near "count"
LINE 1: count(*) as count from events where status = 'en attente'
        ^ {"file":"\/var\/www\/html\/collab\/app\/Models\/Event.php","line":180,"trace":"#0 \/var\/www\/html\/collab\/app\/Models\/Event.php(180): PDOStatement->execute()\n#1 \/var\/www\/html\/collab\/app\/Controllers\/DashboardController.php(44): App\\Models\\Event::getPendingEvent()\n#2 \/var\/www\/html\/collab\/app\/Controllers\/DashboardController.php(63): App\\Controllers\\DashboardController->PendingEvent()\n#3 \/var\/www\/html\/collab\/app\/Core\/Router.php(84): App\\Controllers\\DashboardController->dashboard()\n#4 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#5 {main}"}
[2025-02-12 14:30:00] [ERROR] Unable to find template "/dashboard.twig" (looked into: /var/www/html/collab/app/Core/../views). {"file":"\/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php","line":227,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php(131): Twig\\Loader\\FilesystemLoader->findTemplate()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(261): Twig\\Loader\\FilesystemLoader->getCacheKey()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->getTemplateClass()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#4 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#5 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(33): App\\Core\\Controller->render()\n#6 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#7 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#8 {main}"}
[2025-02-12 14:36:08] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:44:16] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:44:50] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:45:26] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:45:43] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:46:15] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:46:56] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:47:20] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:47:25] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 14:59:55] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 16:11:46] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 16:13:13] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 16:13:52] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 16:14:16] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 19:07:09] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
[2025-02-12 19:10:04] [ERROR] Route not found {"file":"\/var\/www\/html\/collab\/app\/Core\/Router.php","line":88,"trace":"#0 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#1 {main}"}
